vic,width,height,interlaced,h_total,v_total,pixel_clock_khz,v_freq_hz,source_page
1,640,480,false,800,525,25175,59.94,42
2,720,480,false,858,525,27000,59.94,42
3,720,480,false,858,525,27000,59.94,42
4,1280,720,false,1650,750,74250,60.0,42
5,1920,1080,true,2200,1125,74250,60.0,42
6,1440,480,true,1716,525,27000,59.94,42
7,1440,480,true,1716,525,27000,59.94,42
8,1440,240,false,1716,262,27000,60.054,42
9,1440,240,false,1716,262,27000,60.054,42
10,2880,480,true,3432,525,54000,59.94,42
11,2880,480,true,3432,525,54000,59.94,42
12,2880,240,false,3432,262,54000,60.054,42
13,2880,240,false,3432,262,54000,60.054,42
14,1440,480,false,1716,525,54000,59.94,42
15,1440,480,false,1716,525,54000,59.94,42
16,1920,1080,false,2200,1125,148500,60.0,42
17,720,576,false,864,625,27000,50.0,42
18,720,576,false,864,625,27000,50.0,42
19,1280,720,false,1980,750,74250,50.0,42
20,1920,1080,true,2640,1125,74250,50.0,42
21,1440,576,true,1728,625,27000,50.0,42
22,1440,576,true,1728,625,27000,50.0,42
23,1440,288,false,1728,312,27000,50.08,42
24,1440,288,false,1728,312,27000,50.08,42
25,2880,576,true,3456,625,54000,50.0,42
26,2880,576,true,3456,625,54000,50.0,42
27,2880,288,false,3456,312,54000,50.08,42
28,2880,288,false,3456,312,54000,50.08,42
29,1440,576,false,1728,625,54000,50.0,42
30,1440,576,false,1728,625,54000,50.0,42
31,1920,1080,false,2640,1125,148500,50.0,42
32,1920,1080,false,2750,1125,74250,24.0,41
33,1920,1080,false,2640,1125,74250,25.0,41
34,1920,1080,false,2200,1125,74250,30.0,41
35,2880,480,false,3432,525,108000,59.94,42
36,2880,480,false,3432,525,108000,59.94,42
37,2880,576,false,3456,625,108000,50.0,42
38,2880,576,false,3456,625,108000,50.0,42
39,1920,1080,true,2304,1250,72000,50.0,42
40,1920,1080,true,2640,1125,148500,100.0,43
41,1280,720,false,1980,750,148500,100.0,43
42,720,576,false,864,625,54000,100.0,43
43,720,576,false,864,625,54000,100.0,43
44,1440,576,true,1728,625,54000,100.0,43
45,1440,576,true,1728,625,54000,100.0,43
46,1920,1080,true,2200,1125,148500,120.0,43
47,1280,720,false,1650,750,148500,120.0,43
48,720,480,false,858,525,54000,119.88,43
49,720,480,false,858,525,54000,119.88,43
50,1440,480,true,1716,525,54000,119.88,43
51,1440,480,true,1716,525,54000,119.88,43
52,720,576,false,864,625,108000,200.0,43
53,720,576,false,864,625,108000,200.0,43
54,1440,576,true,1728,625,108000,200.0,43
55,1440,576,true,1728,625,108000,200.0,43
56,720,480,false,858,525,108000,239.76,43
57,720,480,false,858,525,108000,239.76,43
58,1440,480,true,1716,525,108000,239.76,43
59,1440,480,true,1716,525,108000,239.76,43
60,1280,720,false,3300,750,59400,24.0,41
61,1280,720,false,3960,750,74250,25.0,41
62,1280,720,false,3300,750,74250,30.0,41
63,1920,1080,false,2200,1125,297000,120.0,43
64,1920,1080,false,2640,1125,297000,100.0,43
65,1280,720,false,3300,750,59400,24.0,41
