dmt_id,width,height,refresh_hz,interlaced,reduced_blanking,h_total,v_total,pixel_clock_khz,std_code,cvt_code,source_page
0x01,640,350,85,false,false,832,445,31500,,,18
0x02,640,400,85,false,false,832,445,31500,0x3119,,19
0x03,720,400,85,false,false,936,446,35500,,,20
0x04,640,480,60,false,false,800,525,25175,0x3140,,21
0x05,640,480,72,false,false,832,520,31500,0x314C,,22
0x06,640,480,75,false,false,840,500,31500,0x314F,,23
0x07,640,480,85,false,false,832,509,36000,0x3159,,24
0x08,800,600,56,false,false,1024,625,36000,,,25
0x09,800,600,60,false,false,1056,628,40000,0x4540,,26
0x0A,800,600,72,false,false,1040,666,50000,0x454C,,27
0x0B,800,600,75,false,false,1056,625,49500,0x454F,,28
0x0C,800,600,85,false,false,1048,631,56250,0x4559,,29
0x0D,800,600,120,false,true,960,636,73250,,,30
0x0E,848,480,60,false,false,1088,517,33750,,,31
0x0F,1024,768,43,true,false,1264,817,44900,,,32
0x10,1024,768,60,false,false,1344,806,65000,0x6140,,33
0x11,1024,768,70,false,false,1328,806,75000,0x614A,,34
0x12,1024,768,75,false,false,1312,800,78750,0x614F,,35
0x13,1024,768,85,false,false,1376,808,94500,0x6159,,36
0x14,1024,768,120,false,true,1184,813,115500,,,37
0x15,1152,864,75,false,false,1600,900,108000,0x714F,,38
0x16,1280,768,60,false,true,1440,790,68250,,0x7F1C21,40
0x17,1280,768,60,false,false,1664,798,79500,,0x7F1C28,41
0x18,1280,768,75,false,false,1696,805,102250,,0x7F1C44,42
0x19,1280,768,85,false,false,1712,809,117500,,0x7F1C62,43
0x1A,1280,768,120,false,true,1440,813,140250,,,44
0x1B,1280,800,60,false,true,1440,823,71000,,0x8F1821,45
0x1C,1280,800,60,false,false,1680,831,83500,0x8100,0x8F1828,46
0x1D,1280,800,75,false,false,1696,838,106500,0x810F,0x8F1844,47
0x1E,1280,800,85,false,false,1712,843,122500,0x8119,0x8F1862,48
0x1F,1280,800,120,false,true,1440,847,146250,,,49
0x20,1280,960,60,false,false,1800,1000,108000,0x8140,,50
0x21,1280,960,85,false,false,1728,1011,148500,0x8159,,51
0x22,1280,960,120,false,true,1440,1017,175500,,,52
0x23,1280,1024,60,false,false,1688,1066,108000,0x8180,,53
0x24,1280,1024,75,false,false,1688,1066,135000,0x818F,,54
0x25,1280,1024,85,false,false,1728,1072,157500,0x8199,,55
0x26,1280,1024,120,false,true,1440,1084,187250,,,56
0x27,1360,768,60,false,false,1792,795,85500,,,57
0x28,1360,768,120,false,true,1520,813,148250,,,58
0x29,1400,1050,60,false,true,1560,1080,101000,,0x0C2021,61
0x2A,1400,1050,60,false,false,1864,1089,121750,0x9040,0x0C2028,62
0x2B,1400,1050,75,false,false,1896,1099,156000,0x904F,0x0C2044,63
0x2C,1400,1050,85,false,false,1912,1105,179500,0x9059,0x0C2062,64
0x2D,1400,1050,120,false,true,1560,1112,208000,,,65
0x2E,1440,900,60,false,true,1600,926,88750,,0xC11821,66
0x2F,1440,900,60,false,false,1904,934,106500,0x9500,0xC11828,67
0x30,1440,900,75,false,false,1936,942,136750,0x950F,0xC11844,68
0x31,1440,900,85,false,false,1952,948,157000,0x9519,0xC11868,69
0x32,1440,900,120,false,true,1600,953,182750,,,70
0x33,1600,1200,60,false,false,2160,1250,162000,0xA940,,72
